,Star,Dist,star_mass,star_radius
232,167,2MASS0J18432213+4040209,46,0.091640448
233,168,2MASS0J20004841 7523070,105,0.0238647
234,169,SDSS0J204749.61 071818.3,65,0.043911048
235,170,2MASSI0J2057540 025230,47,0.06682116
236,172,2MASSI0J2104149 103736,62,0.065866572
237,173,PSO0J318.5−22,80,0.006204822
238,174,HB02124 4228,113,0.089731272
239,175,2MASS0J21392676+0220226,32.1,0.043911048
240,176,2MASS0J21481628+4003593,26.3,0.05250234
241,178,2MASSW0J2206450 421721,93,0.021000936
242,179,2MASSW0J2208136+292121,154,0.025773876
243,180,2MASSW0J2224438 015852,38,0.058229868
244,181,2MASS0J22282889 4310262,35,0.040092696
245,182,2MASS0J22373255+3922398,64,0.069684924
246,183,2MASSW0J2244316+204343,56,0.011455056
247,184,2MASS0J23224684 3133231,56,0.022910112
248,185,2MASS0J23225299 6151275,148,0.016227996
249,186,2MASS0J23515044 2537367,67,0.084003744
250,187,2MASSI0J2356547 155310,74,0.07636704
251,225,WISE00410+1502,20,0.005727528
252,229,WISE00458+6434A,35.9,0.01431882
253,230,WISE00458+6434B,35.9,0.00954588
254,284,WISE01405+5534,25.3,0.02863764
