,Star,Dist,star_mass,star_radius,Gravity
208,141,CFBDSIR01458+10B,104.0,0.008591292,386450041.20152193
209,142,TVLM0513 46546,35.1,0.0715941,1878147.2002393967
210,143,2MASS01503+2525,20.7,0.042001872,3218177.765826604
211,144,CFBDS0J150411+102717,71.0,0.042001872,11038194.269260332
212,145,2MASSW0J1506544+132106 [de],46.0,0.065866572,2908068.8719178066
213,146,2MASS01507−1627,23.9,0.05727528,1998206.8236165228
214,147,TVLM0868 110639,53.0,0.075412452,2556034.5772961266
215,149,2MASSW0J1515008+484742 [de],34.0,0.054411516,3149736.6452073758
216,150,2MASSI0J1526140+204341 [de],67.0,0.051547752,6915639.092014415
217,151,DENIS P0J153941.96 052042.4 [de],51.0,0.060139044,3867533.7718362664
218,152,2MASS0J15462718 3325111 [de],37.0,0.042001872,5752298.422008906
219,153,2MASSW0J1552591+294849 [de],68.0,0.02863764,22741098.57839725
220,154,2MASSW0J1555157 095605 [de],44.0,0.067775748,2627126.689687303
221,155,2MASS0J16150413+1340079 [de],48.0,0.040092696,8190071.516829743
222,156,SDSSp0J162414.37+002915.6 [de],36.0,0.041047284,5860175.563421171
223,157,2MASS0J16262034+3925190 [de],110.0,0.067775748,6567816.724218257
224,158,2MASSW0J1632291+190441 [de],50.0,0.046774812,6267911.875124803
225,159,WISEPA0J164715.59+563208.2,28.0,0.039138108,5013434.616786321
226,160,LSPM0J1658+7027 [de],60.0,0.069684924,3388836.122088494
227,161,2MASSI0J1726000+153819,114.0,0.022910112,59569973.29819131
228,163,SDSSp0J175032.96+175903.9,90.0,0.044865636,12262861.721102023
229,164,2MASS0J18283572 4849046,39.0,0.04295646,5796750.618022827
230,165,LSR0J1835+3259,18.5,0.073503276,939150.7627769641
231,166,2MASSW0J1841086+311727,138.0,0.063957396,9252828.624994883
232,167,2MASS0J18432213+4040209,46.0,0.091640448,1502312.923090351
233,168,2MASS0J20004841 7523070,105.0,0.0238647,50565501.54490683
234,169,SDSS0J204749.61 071818.3,65.0,0.043911048,9245762.446043028
235,170,2MASSI0J2057540 025230,47.0,0.06682116,2887000.2096824837
236,172,2MASSI0J2104149 103736,62.0,0.065866572,3919571.0882370435
237,173,PSO0J318.5−22,80.0,0.006204822,569912668.8634188
238,174,HB02124 4228,113.0,0.089731272,3849176.0402348014
239,175,2MASS0J21392676+0220226,32.1,0.043911048,4565984.223353556
240,176,2MASS0J21481628+4003593,26.3,0.05250234,2616829.379439294
